评论标题,评分,评论人,评论时间,产品属性,是否verified purchase,评论内容，多少人点赞
Riding again,4,William May,February/3/2014,Style:Trainer,有,Not quite as much resistance as I would like but works well. Would buy again.  Worth the money.  Easy set up.,9
Has been working great for me,5,Stef,December/18/2017,Style:Trainer,有,Has been working great for me.  I use this for the local indoor rides and I use rollers at home.  Has enough resistance for me but a strong rider may find it has some limitations.,One
Just what you want.,5,bl33,March/24/2017,Style:Trainer  color:Block,有,Built like a tank and works a charm.  Just what I was looking for to keep fitness.This will last several lifetimes.,One
This is a great trainer. Easy to setup,5,Waldo,February/20/2018,Style:Trainer,有,This is a great trainer.  Easy to setup and a great way to get quality indoor rides during the winter.  Very portable too and folds down for easy storage.,0
Assembly Instructions Lacking,4,Todd F.,April/1/2017,Style:Trainer,有,It's sturdy and a good design but I found the assembly instructions half-assed. Of course I got it together but I'm handy and mechanically inclined. It's an excellent trainer but the company should provide an video link for those who need it.,One
Indoor fitness bike,4,Designer Girl,February/15/2017,Style:Trainer,有,Nice works for indoor cycling.  Not too much resistance and a bit noisy for an apartment.  But when you can't bike in the snow this is the way to go.,One
The thing I like the most is the smooth increase in load as ...,5,ejp,August/23/2017,Style:Trainer,有,I have an Electra Townie mounted on this trainer and I'm using it to to rehab a total knee replacement.  The thing I like the most is the smooth increase in load as your speed increases.  Easy straightforward setup.  Saris produces quality products.,One
Five Stars,5,KMS,February/10/2017,Style:Trainer,有,A little loud and wore down the tire within 2 rides but I'm still rocking it daily.,2
Just Ride!!,5,Cindi A. Thom,January/26/2018,Style:Trainer,有,RIDE RIDE RIDE This products is working great.  I just keep on riding.,0
Five Stars,5,Product Reviews,March/30/2016,Style:Trainer,有,Great bike trainer and well worth the money.,2
Easy to assemble and hook up with bike,5,Bruce Urbon,January/29/2018,Style:Trainer,有,Easy to assemble and hook up with bike.  Smooth operating and quiet.  Love this trainer! (glad I ordered the mat too so I can use it confidently on my indoor floors),One
It is great!,5,S. Brennan,January/17/2018,Style:Trainer,有,Husband uses this when he can't ride outdoors. It is great!,One
Five Stars,5,Slygoat,December/16/2017,Style:Trainer,有,Easy to setup and take down very quite. The bike is the noisy part now.,One
Great product!,5,g.b.,August/14/2017,Style:Trainer,有,This surpassed expectations. On a carpet with the mat... all I hear is my chain and even that is practically silent.  Well built compact and smooth. I'd recommend this  no hesitation.,One
Easy to assemble and quiet in use,5,bref,February/26/2015,Style:Trainer,有,It is everything it was advertised to be.  Easy to assemble and quiet in use.  I put my cyclometer on the back wheel and the computer on the crossbar beneath the seat and can clock my time speed etc.  So far simply shifting gears gives me enough resistance.  Happy to be able to watch video or TV to pass the time.  Definitely keeping me fit and sane this winter season!  Very happy so far.,One
Love this trainer,5,A Harrill,January/4/2016,Style:Trainer,有,Works like a dream and is very quiet. Replacement training skewers are also cheap and easy to find. I bought an extra for my husband's bike. The flywheel generates a bit of a breeze which helps keep me cool during a workout.,One
My 3 issues with the CycleOps Fluid2,2,Cruz,August/22/2017,Style:Trainer,有,I've been using the Fluid2 for 8 months and these are some of the issues that I've notice.1. The oil heats up and causes the resistance to change a lot through the workout.2. As the oil heats up so does the roller which causes your rear tire to melt. This can be overcome by buying a spare training wheel cassette and trainer tire.3. This is a user error - I wasn't careful when I first use the trainer so I loaded up my rear wheel and the aluminum skewer clamp scratch my rear drop out and derailleur really bad.,4
Five Stars,5,Jeri Jorgensen,January/2/2018,Style:Trainer,有,Great price and works very well.  Not as noisey as some reviews suggested.  Very pleased with this purchase.,One
Nice!,5,Pancoastp@Loves.to.read.Lots,February/17/2016,Style:Trainer,有,Works great pretty simple set-up and holding up to 20 miles/day on a consistent basis. Not wobbly at all and pretty quiet,0
Well made works well but a bit unsophisticated,4,Larry in Lafayette,December/3/2015,Style:Trainer,有,I'm glad I purchased a fluid-technology trainer: functionally the CycleOps is a good straightforward high-quality product. It works well and isn't too noisy in operation. I'm able to ramp up the exercise level quite smoothly by shifting to a higher-gear. The only reason I'm not giving it five stars is that it is not particularly refined. The mechanism to clamp to the skewer (a well-made more robust one included) appears very strong but the operation isn't particularly smooth. The unit to tire adjustment mechanism could be described just the same way. There is rather a feeling of crudeness (that may be overstating it perhaps "low volume almost hand-built construction" is better) throughout except for the "resistance unit" which is clearly more sophisticated in construction. Since that is the most important component that's quite appropriate. All in all the Fluid2 works and works well. I'd rather it was strong and unsophisticated than refined and fragile and it certainly is more the former than the latter. I'd get it again. Recommended.,One
Fine quality,5,Mallory E Woodard,January/14/2016,Style:Trainer,有,Extremely quiet with road slicks on easy to load the bike on and very sturdy.,One
Easy to put together,5,Cherisse Knapp,January/25/2018,Style:Trainer,有,Much quieter than my previous stand.  Easy to put together easy to mount and unmount my bike.,0
Very happy with this trainer- provides a super smooth ride and ...,5,Aimee E. Oke,December/8/2015,Style:Trainer,有,Very happy with this trainer- provides a super smooth ride and allows me to watch movies on longer sessions without turning the volume way up.,One
5 stars!,5,Marta,January/31/2018,Style:Trainer,有,Arrived on time good quality and easy to set up. Definitely recommend.,0
Five Stars,5,Mark Herzinger,January/29/2018,Style:Trainer,有,Exceeded expectations both with regard to ease of set up and the realistic road feel with road bike.,0
Great product,5,Karen,December/16/2017,Style:Trainer,有,Fantastic. Works as described. Super easy to put together. Love it!,0
Excellent product,5,R. Howell,July/10/2016,Style:Trainer,有,It arrived quickly and perfect condition. We set it up according to the instructions. It is quiet and a perfect addition to our home gym.,0
I ordered what everyone rated as the best..,5,James J. Naughton Jr.,December/11/2016,Style:Trainer,有,I had the Blackburn and it broke after intense use....suddenly you have no trainer and you need one so I ordered what everyone rated as the best....and it is! I thought my previous workout were tough but this takes the cake or more precisely takes the cake right out of you but faster! It is not hard to assembled though. What is a little tricky is getting the bike into place but when you do get it it stays in place....take your time and don't give up....What you end up with is a very hard and fluid ride....you use the know to adjust to your preferred level and then you use the bike shifters to either raise or lower the degree of difficulty just like as if you were riding....but by the time you are ready to rough it out believe me this bike will give you a very very strong workout....and is deceptively effective at first then it's just really hard so you end up lowering the gears to make it easier....otherwise it's like climbing the French Alps....it's worth it it's well-built....you need some sort of block for the front tire to level yourself off....and a mat under the bike and trainer if only for neatness....I believe it is the best and will leave you thoroughly worked-out....it's made in America and made really well....fill out registration onlne and save the box....it is a lifetime warranty. And it looks awesome to and runs as quiet as can be and again very solid....I love it!,One
Good trainer for the hamster in you,4,Texas1,January/11/2015,Style:Trainer,有,This trainer works well for the intended use as an indoor substitute to riding outside. I've read some reviews that have questions asking about how quiet it is.....it isn't.  I have a fairly large 4 bedroom home and have this set up in an upper room for training. There is a definite drone noise when riding which I would equate to having your truck idling in the garage.  My wife can hear it throughout the house.  So for you apartment dwellers yes I have no doubt that your neighbor below would be annoyed and hear you riding your hamster wheel.  If you are on the bottom level then perhaps it wouldn't be an issue.My bike is set up with a Quarq crank power meter. When riding on the trainer the watts are definitely reading less than what I typically average on the road. Seems odd considering the Quarq measures output at the crank. Either way I've logged enough miles on the road to know what 150 200 250 350 watts feels like.  I've messed with the tension on the wheel (yellow knob) to see if having it loose or tight affects the watt reading. At the point of being so loose that the bike tire seems to sleep a bit against the trainer wheel at high torque on the crank the watts are still low vs what I know the road effort readout is. So you will have to figure out the wheel tension and watt reading difference when attempting to gauge your workout versus your road work. In general I feel like the watts are about 25-50w low in readout on the trainer vs the road. So with that in mind it is still possible to come up with some good interval training workout plans.  I can't comment on the wheel speed variations on the trainer vs road since my computer isn't set to read speed of the wheel only speed via GPS.Set up - I've owned a cycleops before(circa 2002 model) and there isn't much difference in set up. One review points out the "terrible" instructions....mine came with instructions which were adequate and I'd think anyone that had never set one up shouldn't have any problems.  There are plenty of videos on line as well if one found it challenging.Overall it's a good trainer. The tension at increasing speed effort is realistic vs the road. I'd recommend it.,6
Five Stars,5,JKH,December/30/2015,0,有,Arrived promptly and set up in 5 minutes. The new axel holding method is an improvement,0
Great trainer.... once the fluid warms up...,3,jordan thompson,December/24/2015,Style:Trainer,有,My issue with this thing is the time it takes the fluid to heat up.  When its cold (you havent ridden it for 24 hours or so) the fluid chills down and doesn't provide much resistance.  Sometimes in the winter it can literally take 40 minutes for the fluid to heat up and provide some real resistance.  This is a real downfall for anyone using Zwift or an equivalent training program and I cant imagine what it would be like when you're warming up for a race in New England in late march or early april when its around 30 degrees.  I wish they'd fix this... it is very smooth and quiet and once the resistance picks up this thing is very good for sure.,7
Great,5,Rosalind Livingston,September/24/2015,Style:Trainer,有,Love this not as good as the  road but talk about a workout  I never sweated so much great trainer,0
Five Stars,5,Christopher S.,June/24/2015,Style:Trainer,有,Excellent trainer and very quiet.,One
I did lots of research on trainers before purchasing this ...,5,Kahuku,July/8/2016,Style:Trainer,有,I did lots of research on trainers before purchasing this one. I have used it almost daily since December. It's really my new boyfriend.,5
Great trainer. I have my Trek Verve 3 installed ...,5,Lynn,March/21/2016,Style:Trainer,有,Great trainer.  I have my Trek Verve 3 installed and really enjoy riding all winter.,0
The next best to a sunny warm day!,5,Ron P.,February/10/2014,Style:Trainer,有,The ease of set-upthe quality of materials and performance. The adjustment of the tension works flawlessly.With this I no longer have an excuse not to ride!,One
... trainer for a month now and I am very happy! Great diversion for the off season and keeps ...,5,C. Hise,December/3/2015,Style:Trainer,有,I have been riding this trainer for a month now and I am very happy! Great diversion for the off season and keeps you ready for next season.,0
Very happy,5,Crista McCord,September/30/2017,Style:Trainer,有,Now that I no longer live in So Cal I have to switch to indoor riding during the winter.  My last trainer was a wind trainer I purchase in 1984 so this is is a definite improvement.  I am using this with my 1984 Peugeot Competition.  I needed add a 1/2" spacer to the adjustment screw to ensure the friction wheel applied enough pressure to rear tire (I suspect my vintage bike has a shorter wheel base than current cycles).  I've found the fluid material provides a good simulation of road friction - running up and down the gears - I am able maintain a cadence similar to my road training. The base is stable and maintains position throughout my training session.  I do notice I am loosing quite a bit of tire tread.  I am very happy with this trainer I notice a some wine of the wheel but it is not bothersome.,One
Meets all expectations,5,Nathan Gaither,December/19/2017,Style:Trainer,有,Great trainer. This is my first bike trainer so I have nothing to compare it to but meets or exceeds all of my expectations. Both trainer and bike setup are quick and painless. The trainer folds up nicely to place out of the way and takes about 10 seconds to unfold and lock in the bike. Generates some noise but nothing excessive. Happy with the resistance provided. Ordered an additional axle for my wife's bike will very likely order another trainer to match so that we can have both bikes set up without fuss or muss.,One
Great for motivation for winter indoor activity.  In my living room without taking up large area.,4,Amazon Customer,February/9/2016,Style:Trainer,有,Fairly easy to assemble.  The sound is quite minimal.,One
easy to store during the season when not in use,5,The duke,July/26/2015,Style:Trainer,有,Runs smooth easy to store during the season when not in use.,0
Awesome trainer,4,Amazon Customer,March/4/2016,Style:Trainer,有,Great bike trainer. Love it. Relatively quiet but wish it were quieter as not able to hear the TV while riding. Otherwise it's great.,One
Three Stars,3,Urias,July/24/2016,Style:Trainer,有,Still makes a lot of noise and it's supposed to be the least noisy,4
Works great. Not very noisy to me at all,5,Snakebitten,January/6/2015,Style:Trainer,有,Works great.  Not very noisy to me at all.  I would reccomend it for anyone needing winter training,0
Five Stars,5,Amazon Customer,November/26/2015,Style:Trainer,有,Great trainer very smooth ride,0
and it's pretty much met all my expectations,5,CoolHandLu,October/12/2015,Style:Trainer,有,I've had this 2 weeks now and it's pretty much met all my expectations.  This thing's built like a tank VERY solid.  Yet it collapses into a surprisingly compact store-able size.  This is my first trainer so I can't compare it (noise-wise) to others.  I am going to assume that the wind resistance/blade/propeller designs are god-awful noisy because this thing isn't exactly quiet.  I had to turn up my TV fairly loud to clearly hear conversation when I'm hammering away in the saddle but this isn't a complaint just an observation.  I'd describe the sound as a loud hum.  The only real criticism I have are in the instructions in putting this thing together; they leave a lot to be desired.  But looking at the photos online and a YouTube video or two and I was good to go.  Excellent product.,One
Five Stars,5,Theedlove,February/13/2016,Style:Trainer,有,Great product.,0
Five Stars,5,Bryan E. Moreno,March/29/2015,Style:Trainer,有,Awesome love the new tightening screw much more precise the previous models,0
Good for training,5,Linda Kiraly,January/18/2015,Style:Trainer,有,Bought for my son for winter training. He rides it about 6 - 8 hrs weekly and says it works great.,0
Working But seemed used.,3,Amazon Customer,January/4/2018,Style:Trainer,有,Works good no problem setting up. No parts were missing.The reason I gave it 3 stars is because when I opened the product it seemed as if the base had been used before. There are marks on the inside of the trainer as if something scraped against it.,2
Need help on this one,3,T,February/11/2016,Style:Trainer,有,I have had this tire a few weeks now and it is destroying my tires. After two uses with a trainer tire there is a visible band of wear melted into the trainer tire (also by CycleOps.)Am I doing something wrong? The tire is inflated the resistance wheel is set to just be touching the tire.Also is there a way to lock the resistance wheel? it seems to weaken as I ride.,2
First "ride" was great. Can't beloved I waited this long to get ...,5,SapperBAF,February/22/2016,Style:Trainer,有,First "ride" was great.  Can't believe I waited this long to get this item.  Bye bye 20 pounds!,One
Realistic road feel  top notch customer service.,5,JC,March/9/2016,Style:Trainer,有,Excellent customer service.  My bike reflector made a buzzing sound that I misdiagnosed as a trainer noise issue.  Saris the company that produces the trainer replaced the trainer hydraulic unit quickly and free of charge including shipping.  The trainer is top quality and provides a realistic road experience.  I use it with ZWIFT and have been very satisfied.  I would buy again from Saris without hesitation.,0
Good trainer quiet enough for indoors,4,Junebug Jones,November/10/2015,Style:Trainer,有,I needed a bicycle trainer that would be quiet enough that I could train while watching Netflix on my laptop. Ends up that most of the time I just use the built-in speaker on my Mac laptop which I'm fine with: I turn the subtitles on to help a bit and the units is quiet enough I can still hear fine.  If I had the trainer set up where I could plug into my regular sound system it would be totally fine without subtitles. The unit's fairly compact (my house is small so that's a help). It's easy to pop the bike into and out of the trainer. The resulting workout switching between gears is pretty good. I got this to help keep me in shape for bike commuting 2 days per week x 16 miles. Definitely is doing the job. Only drags were the written instructions that came with the unit were worthless (Watch a Youtube video instead). And the unit wobbles a little. I haven't been able to figure out how to level it but I'm confident I can MacGyver something. Had to request a replacement part and customer service was really fast responsive and helpful.,One
Simple and Smooth good quality product and customer service,5,Marc Boutillette,January/6/2015,Style:Trainer,有,Purchased 4 months ago and have given it moderate use.  It went together easily and rides smooth and stable.  You do need something to lift the front wheel up a bit to keep it even.  I had an issue with the tension knob breaking this past week I called customer support and they shipped me out a new one with no hassle - great customer service and they stand by their product.,0
Great Workout (see update),3,BillW501,April/21/2014,Style:Trainer,否,With my old magnetic trainer it took me quite awhile to get my heart rate up and I could grind at 80 rpm in high gear for over an hour at 25 mph+ and my heart rate would barely go over zone 2.  With the Fluid2 I feel a training effect right away and can get no where near highest gear if I want to stay at 80 rpm for any amount of time.  I have no problem getting whatever heart rate I want to train at.  A fellow cyclist and friend told me "that's too much trainer for you".  Well - good.  I love the fact that I can't max this out right away.This is a solid unit and the noise level is less than the sound my chain makes.As for a comparison to being on the road - I feel like the trainer is actually harder than riding on the road.  This is fine with me.  I believe this will pay off on my road trips.Update 3 June 2015 - I originally rated this 5 stars but after a little over a year I discovered the resistance unit was leaking fluid so I called customer service.  They gave me an RA number and told me to send the resistance unit to them.  I had read other reviews where the company provided a FEDEX shipping label at no cost but I was not offered this.  They received the unit on a Wednesday and I had a replacement on Saturday of the same week.  Pretty fast!  I installed the resistance unit started a workout and immediately noticed a low rumbling nose and vibration that I had never experienced from the original unit.  After a few minutes and shifting into a harder gear for more resistance the noise changed to a high-pitched noise - sort of like you would hear from a table saw but of course not as loud.  I called customer service to let them know my problem but instead of taking my word they insisted I take it to my local bike shop.  I did and the LBS verified the noise and called customer service on my behalf.  Currently I am waiting on the second replacement.  I will update again after I receive the replacement resistance unit.Update 5 Jun 2015 - My local bike shop received the replacement resistance unit.  Again fast shipping.  They called customer service at around 12:00 on Monday and had the replacement by Wednesday.  They installed the unit for me and we tested it at the bike shop.  All was well.  I took it home and did a light workout.  So far no issues with the replacement unit.  If things change I will update.,102
But when it's too cold to comfortably ride outside,5,nikomiko,July/28/2015,Style:Trainer,有,It doesn't really compare to biking outdoors where it's natural to push yourself. But when it's too cold to comfortably ride outside this is great. I've ridden in Philadelphia winters with cold winds. This is great when you want to get some biking in when you can't face the weather.,One
Two Stars,2,C. Castoro,December/16/2017,Style:Trainer,有,This clearly is used scratched up ;,2
Four Stars,4,Jason Bryngelson,August/18/2015,Style:Trainer,有,Great unit relatively quiet really smooth. But you need to be dedicated as its so boring to use.,0
Great Trainer low noise easy setup.,5,Jacare,February/13/2015,Style:Trainer,有,Great Product low noise.I bought this product since the winter season has arrived and i need to keep in shape to ride Enduro races in the spring. The product was very easy to setup and the noise was very low. I was able to mount this to my current race bike Yetti SB66 carbon with no problems and continue training. Would buy this again.,0
Excellent!!,5,Familia,January/13/2014,Style:Trainer,有,Excellent !! This is the one I expected. The season I can't ride my bicycle outside I can train inside of my house at living room during watching my favorite TV.,3
Used it about 20 times and so far very pleased. I don't have much to compare to as ...,4,Amazon Customer,August/26/2016,Style:Trainer,有,Used it about 20 times and so far very pleased.  I don't have much to compare to as this is my first trainer..,2
Four Stars,4,Jefe201,November/17/2015,Style:Trainer,有,Solid and well made. Works as advertised,0
Five Stars,5,Tony Scott,January/12/2017,Style:Trainer,有,Great Product!,0
Five Stars,5,Jon M.,April/15/2016,Style:Trainer,有,It's ranked up there for a reason.  You get what you pay for.,0
Five Stars,5,Jose Luis  Castillo,June/26/2017,Style:Trainer,有,Great entry level trainer you can't beat the price,0
Five Stars,5,Lee R. Herrington,September/30/2016,Style:Trainer,有,-rides like the road.,One
Five Stars,5,james groenewold,March/30/2015,Style:Trainer,有,Super for indoor riding.,0
still a great product. east to put together,4,Mark,November/6/2016,Style:Trainer,有,Not as quiet as I was hoping.  still a great product.  east to put together.,0
This product is awesome!!,5,Shannon Richmond,January/23/2016,Style:Trainer,有,This product is awesome!!! It was recommended to me by other friends and I am so happy with it! Quiet and easy to move the bike on/off the trainer.,0
Five Stars,5,David P.,October/15/2015,Style:Trainer,有,good about returns!,0
Five Stars,5,kevin eagleton,May/31/2015,Style:Trainer,有,Best price around. Fast shipping and a great trainer!,0
Five Stars,5,Caryn Blanke,March/6/2015,Style:Trainer,有,Great trainer! Fluid trainers though are TOUGHER than the normal trainer...,0
Five Stars,5,Amazon Customer,September/6/2017,Style:Trainer,有,Expensive but worth it!,0
Love it! It was supposedly used but you would ...,5,Jac,January/20/2016,Style:Trainer,有,Love it!  It was supposedly used but you would never know it!  Works  perfectly.  No scratches or marks on it.,0
Five Stars,5,MPCincy,February/7/2016,Style:Trainer,有,smooth works well,0
Great trainer,5,Reagan K. Barry,January/29/2016,Style:Trainer,有,It's a CycleOps and it's works like a charm.  Can't go wrong with these.  Yes they can make some noise the harder you train but no one should expect silence when you are pushing wattage.  It's unrealistic.  Very smooth ride and doesn't get too hot.  Keep your legs in shape in the off season.,One
Four Stars,4,zellus188,October/30/2015,Style:Trainer,有,Great trainer a little more expensive than most but worth the money.,0
Five Stars,5,C Laury,February/4/2016,Style:Trainer,有,Mine did not include a dvd ....any one els get one?,0
Not much resistance,3,Alex Griffis,December/28/2015,Style:Trainer,有,The description claims that you can up your resistance by pedaling faster but that's not really the case. The resistance hardly increases. The trainer is fine if you want to go high cadence and low resistance all the time but serious cyclists need more variance than that.,2
Five Stars,5,Amazon Customer,April/3/2017,Style:Trainer,有,Perfect for what I need.,0
Four Stars,4,Stephen Cattaneo,February/22/2016,Style:Trainer,有,Exactly what I expected,0
Five Stars,5,Craig,January/22/2016,Style:Trainer,有,Smooth and quiet!,0
Five Stars,5,DANIEL R PATTERSON,February/18/2015,Style:Trainer,有,a great workout!,0
Great Purchase,4,Blaze,April/10/2014,Style:Trainer,有,I bought this for my husband who has loved his new sport...road biking.  Winter in Maine is tough and I thought this would be a great product for him.  It hasn't disappointed.  It is very quite and you can adjust the tension to your needs.  He is now on the road and uses the trainer less but I have been using it daily (still to cold for me to road bike).,2
Good off season training,4,Thomas G. Smith,February/15/2015,Style:Trainer,有,the only complaint is that I had to swap out the back axle lock to the one that fits the bike trainer. Otherwise solid stable quiet and easy to use.,One
Works great but instructions could be improved!,4,Shar,December/31/2016,Style:Trainer,有,Works great and not noisy! My only complaint would be the instructions regarding steps to attach and lock the bike into the unit were not clear and the locking mechanism was so tight I felt like I was doing something wrong and could damage the bike frame. It would be nice if the cycleops site had a video or more information on this part.  Other Youtube videos helped and I finally figured it out hours and a sore hand later.,One
A really great trainer- it is quiet enough that my cats hardly ...,5,HDWatson,March/29/2015,Style:Trainer,有,A really great trainer- it is quiet enough that my cats hardly give notice when I'm using it and I find the adjustment great for mimicking my street ride.  I do wish it came with a front wheel block- as I had to wait for a separate delivery of what was needed to make it truly stable.,0
Good trainer good customer support poor written set-up instructions,4,Outdoor Enthusiast White Mts NH,November/10/2015,Style:Trainer,有,Quick delivery easy unpacking. That is where the initial good reactions stop -- set up instructions were whoa-fully poor - they missed two critical steps which cost me two calls to customer service during cocktail hour. Luckily those folks were very accessible and helpful. Problem solved quickly with no further pain. Product quality seems fine - I just have a hour peddling on the unit. Use of the skewer (provided) is a must if you have a nice bike btw.,0
Rear skewer mount not compatible with any of our bikes. No adapter to be found.,2,Buffalo Spicer,January/18/2016,Style:Trainer,有,If you own a fleet of normal bikes like me and my family be aware they cannot be mounted on this trainer.  It requires one of those quick release things on the rear.  I have not been able to find an adapter.  It's possible this trainer is great.  I wouldn't know because I need to buy a new bike to use it.,3
Love this trainer and the folks at Cycleops,5,Zach K.,April/8/2017,Style:Trainer,否,I've been training indoors on a second-hand Cycleops adjustable mag trainer for years.  When it was finally time to upgrade I choose the Fluid2 as my next trainer.  Having spent this winter on the Fluid2 I can say without hesitation that I love this trainer.  Compared with the magnetic version this trainer is whisper quiet and the resistance is so much more progressive.  When riding my magnetic trainer I found that the harder/faster I pedaled the lower the relative resistance became.  As a result I found I could out-spin the magnetic trainer and not get the resistance I needed when doing intervals.  Not so with the Fluid2.  When interval training on the Fluid2 the resistance increases in response to effort.  This is exactly what you want when doing high-intensity intervals completely changing the nature of my indoor training sessions.In addition to loving this trainer it is worth mentioning what a terrific company Cycleops is.  When I had trouble years ago setting up the adjustment lever on my magnetic trainer the folks at Cycleops were friendly quick to help and completely unconcerned that it was a used trainer.  They wanted to make sure I was happy with their product regardless of its history.  Since then I've had occasion to work with Cycleops as they've supported a high school cycling club that I run and they have been wonderful to work with.  They support their customers like a small "family owned" company...a rarity in today's world.,One
Quality control leaves much to be desired,1,Emp900,May/7/2015,Style:Trainer,有,Item has a severely misaligned back bar - appears to have been welded on at a very uneven angle causing the unit to wobble to quite a degree. Very poor quality control. Will now have to wait another week as my refund clears item is re-ordered and I wait for a second shipment as I was told it would be "illegal" for them to simply send a replacement unit without having to do a refund and reorder first.How this slipped by CycleOps quality control is somewhat baffling and definitely has me second guessing even attempting to order a 2nd unit. Unhappy with at least a week delay as well as the need to take a cab over to the UPS to drop off the defective unit. At least the Amazon customer service rep I spoke to was friendly she gets five stars.,6
much better than average,4,John S.,February/12/2016,Style:Trainer,有,This is a good solid unit. Assembly was easy and mounting it to the back of my Trek 7300 went pretty well. There are a few gaps in the instructions. So knowing a bit about how your bike is put together helps. Operationally this unit works pretty well.  If you are looking for a great basic excersiser that will get you through the winter duldrums and let you hear the TV at the the same time this is for you. I would like to have just a bit more workout resistance and it's not all that quiet. But I don't think you'd be disappointed with the product. If you have a chance to trial one in the store that will help you really decide of it's right for you. I'd buy this one again.,6
